不力,16
不加,178
不动,129
不化,89
不占,20
不厌,115
不去,209
不及,881
不发,55
不取,173
不受,478
不变,123
不只,9
不可,4725
不合,336
不吉,95
不同,835
不向,7
不吝,7
不听,667
不周,83
不和,225
不哭,44
不啻,15
不善,436
不回,53
不因,56
不图,42
不在,502
不均,47
不坏,18
不堪,98
不备,141
不复,343
不外,43
不多,68
不夜,9
不够,20
不大,77
不失,509
不好,146
不如,1042
不妨,17
不嫁,32
不嫌,25
不存,139
不孝,143
不学,111
不宁,77
不守,67
不安,302
不完,48
不定,98
不宜,361
不实,106
不宣,27
不害,123
不容,197
不寐,42
不寒,31
不对,81
不寿,15
不将,10
不小,22
不少,65
不就,120
不尽,168
不屈,61
不屑,18
不属,44
不巧,15
不差,27
不已,216
不常,56
不干,29
不平,126
不幸,154
不应,233
不开,26
不弃,39
不弱,7
不强,54
不归,83
不当,406
不待,205
不很,9
不得,3349
不必,307
不忍,462
不忘,333
不忠,200
不快,29
不念,48
不怀,19
不思,80
不急,73
不怪,9
不恒其德,9
不恤,101
不恨,51
不恭,67
不息,125
不悔,46
不悟,45
不患,73
不悦,77
不惊,9
不惑,94
不惜,12
不惟,37
不惧,58
不愁,6
不愈,60
不意,81
不感,7
不愧,32
不愿,63
不慎,172
不慢,15
不懈,26
不成,432
不战,76
不才,40
不扬,23
不扶自直,8
不报,78
不拔,33
不拘,43
不拜,144
不择,44
不振,30
不损,29
不掉,6
不接,27
不收,92
不改,196
不敌,30
不敏,66
不教,51
不敢,1892
不散,38
不敬,305
不整,14
不料,13
不断,58
不无,10
不日,80
不早,53
不时,160
不明,476
不易,265
不显,59
不智,84
不暇,83
不更,59
不服,259
不期,43
不朽,59
不杀,119
不来,154
不枉,8
不果,71
不检,7
不欲,513
不止,339
不正,308
不死,425
不比,50
不毛,17
不求,206
不治,362
不沾,7
不法,81
不洁,18
不活,6
不浅,7
不测,92
不济,38
不消,14
不深,54
不清,36
不渝,21
不满,139
不灭,63
不烦,45
不热,6
不然,762
不熟,56
不爱,132
不爽,16
不特,9
不犯,104
不独,46
不理,51
不甘,23
不甚,62
不生,241
不用,870
不由,117
不畏,151
不留,62
不疑,209
不痛,24
不白,13
不直,64
不相为谋,7
不眠,7
不着,28
不睦,12
不知,2847
不破,18
不祥,303
不禁,84
不离,111
不移,101
不穷,82
不空,32
不穿,9
不竭,59
不端,15
不笑,20
不符,9
不等,22
不累,30
不纯,37
不经,43
不给,39
不绝,253
不缺,6
不置,19
不羁,9
不美,41
不羞,22
不老,10
不耐,12
不耻,40
不聊,20
不肖,664
不肯,543
不育,26
不胜,396
不能,5954
不脱,12
不自安,40
不至,568
不致,67
不舍,65
不良,47
不苟,103
不若,488
不苦,23
不著,47
不薄,7
不虚,78
不虞,88
不行,781
不衰,63
不被,59
不要,45
不见,788
不视,46
不觉,47
不解,212
不言,827
不计,24
不让,66
不讲,25
不讳,51
不许,171
不论,40
不设,25
不识,156
不详,42
不语,16
不误,35
不说,162
不请,35
不读,10
不调,46
不谋,58
不谓,64
不谢,13
不贞,20
不负,21
不败,30
不贪,51
不贵,90
不费,32
不走,12
不起,135
不足,1707
不轨,74
不转,12
不轻,43
不辍,28
不辞,82
不辨,19
不辱,72
不达,100
不过,540
不还,72
不进,88
不远,166
不迟,19
不迫,13
不退,21
不送,20
不适,20
不选,11
不逊,51
不通,464
不逞,11
不遂,105
不遇,181
不遑启处,10
不避,155
不配,6
不醉,10
不重,123
不错,20
不长,45
不问,96
不闲,11
不闻,251
不防,6
不降,106
不难,61
不雅,7
不韦,127
不顺,152
不须,52
不顾,233
不食,413
不饮盗泉,6
不高,35
不齐,76
不齿,14
与与,6
与之,699
与亲,8
与人,275
与他,12
与众,69
与会,7
与共,89
与其,382
与及,8
与君,55
与否,7
与国,46
与夷,25
与子,165
与我,138
与时,52
与此,139
与闻,24
与非,13
丐,39
丑,454
丑女,6
丑恶,7
专,824
专一,29
专为,28
专事,15
专任,23
专利,12
专制,34
专心,29
专指,18
专擅,9
专政,35
专杀,11
专权,66
专用,14
专论,9
专车,6
专门,9
且不,50
且末,11
丕,379
世,4589
世上,10
世世,152
世事,32
世人,82
世代,13
世传,54
世俗,210
世叔,15
世善,7
世子,293
世宗,25
世家,443
世情,6
世族,19
世本,147
世法,15
世界,9
世相,21
世祖,194
世称,61
世系,13
世纪,27
世间,55
丘,1525
丘为,15
丘墟,23
丘山,38
丘陵,84
丙,191
丙丁,35
丙午,103
丙子,116
丙寅,82
丙戌,88
丙申,72
丙辰,87
业,918
业已,17
业者,39
丛,68
丛书,13
丛刊,9
丛生,9
东,2858
东乡,45
东井,111
东京,20
东光,10
东北,204
东南,195
东去,12
东向,30
东周,54
东园,41
东土,20
东城,26
东夏,7
东大,10
东夷,50
东宫,76
东家,12
东山,24
东岳,18
东市,18
东平,162
东征,46
东方,447
东明,10
东晋,64
东汉,184
东流,31
东海,255
东王,38
东经,7
东至,160
东莞,6
东莱,56
东西,217
东观,70
东边,10
东道,21
东邻,12
东郊,21
东郡,191
东部,25
东郭,89
东都,28
东里,9
东门,126
东阳,53
东阿,42
东陵,10
东面,210
东风,10
丝,299
丝竹,18
丞,680
丞相,1576
两下,7
两个,64
两人,108
两代,10
两仪,14
两位,6
两军,26
两半,26
两句,83
两周,9
两国,42
两地,11
两城,11
两大,19
两头,31
两女,12
两字,13
两宫,19
两家,17
两心,9
两手,10
两旁,21
两汉,28
两相,8
两种,69
两立,19
两端,21
两篇,43
两类,8
两者,30
两角,6
两道,12
严,743
严令,16
严刑,33
严厉,6
严君,20
严威,15
严密,12
严峻,14
严明,11
